titel;lage;miete;groesse;preis_qm;long;lati;pricecat
BAU! 2-Zimmer-Wohnung zum Verlieben **OFFENE BESICHTIGUNG: Mi 17-19 Uhr, Sa/So 14-16 Uhr**;Alexander-Diehl-Str. 16+18, Weisenau, Mainz;531;44;12,06818182;8,291409;49,9830827;12 bis 15 Euro pro Quadratmeter
Geräumige 3-Zimmer-Wohnung im PARKQUARTIER **OFFENE BESICHTIGUNG: Mi 17-19 Uhr, Sa/So 14-16 Uhr**;Alexander-Diehl-Str. 16+18, Weisenau, Mainz;945;78;12,11538462;8,291409;49,9830827;12 bis 15 Euro pro Quadratmeter
Neubauwohnung der Extraklasse mit sonnigem Balkon - PARKQUARTIER;Alexander-Diehl-Str. 16+18, Weisenau, Mainz;749;62;12,08064516;8,291409;49,9830827;12 bis 15 Euro pro Quadratmeter
Wohnen am Park - Wunderschöne 3-Zimmer-Wohnung mit exklusiver Ausstattung!;Alexander-Diehl-Str. 16+18, Weisenau, Mainz;918;76;12,07894737;8,291409;49,9830827;12 bis 15 Euro pro Quadratmeter
Exklusive Neubauwohnung mit zwei Terrassen - PARKQUARTIER;Alexander-Diehl-Str. 16+18, Weisenau, Mainz;938;72;13,02777778;8,291409;49,9830827;12 bis 15 Euro pro Quadratmeter
2 Zimmer, exklusive Ausstattung, 2 Balkone - PARKQUARTIER;Alexander-Diehl-Str. 16+18, Weisenau, Mainz;880;67;13,13432836;8,291409;49,9830827;12 bis 15 Euro pro Quadratmeter
Penthouse, 4 Zimmer, exklusive Ausstattung - PARKQUARTIER;Alexander-Diehl-Str. 16+18, Weisenau, Mainz;1589;122;13,02459016;8,291409;49,9830827;12 bis 15 Euro pro Quadratmeter
Penthouse mit Dachterrasse und wunderbarer Aussicht - PARKQUARTIER;Alexander-Diehl-Str. 16+18, Weisenau, Mainz;1486;114;13,03508772;8,291409;49,9830827;12 bis 15 Euro pro Quadratmeter
Großzügige Dachgeschosswohnung mit Flair!;Hechtsheim, Mainz;500;50;10;8,2674162;49,9592577;10 bis 12 Euro pro Quadratmeter
***BITTE um EMAILANFRAGE!! Äußerst beliebte Wohnlage! Kästrich - Kupferbergterrasse!***;Oberstadt, Mainz;530;46;11,52173913;8,2650536;49,9897898;10 bis 12 Euro pro Quadratmeter
Zentrale Lage 4-Zimmer-Wohnung;Kaiserstraße, Altstadt, Mainz;1190;110;10,81818182;8,2647432;50,0058567;10 bis 12 Euro pro Quadratmeter
Aussergewöhnliches exklusives Wohnen am Schloss-und Rheinnähe;Altstadt, Mainz;2460;198;12,42424242;8,269193;49,9987651;12 bis 15 Euro pro Quadratmeter
nette Singlewohnung;Uhlandstrasse 6, Neustadt, Mainz;400;30;13,33333333;8,2529317;50,0078222;12 bis 15 Euro pro Quadratmeter
Schöne 3-Zi.Whg. im Modernen Wohnhaus in ruhiger Allee-Lage in der Mainzer Neustadt;Kaiser-Wilhelm-Ring, Neustadt, Mainz;590;59;10;8,2553425;50,0058859;10 bis 12 Euro pro Quadratmeter
Grosszügige 4.5ZKB Maissonette Wohnung in Mainz-Hechtsheim - provisionsfrei;Heuerstrasse 47a, Hechtsheim, Mainz;1300;125;10,4;8,273926;49,9585993;10 bis 12 Euro pro Quadratmeter
Großzügige helle Maisonette in einer traumhaften Stadtlage;Altstadt, Mainz;1880;164;11,46341463;8,269193;49,9987651;10 bis 12 Euro pro Quadratmeter
Tobias Grünert Immobilien # Dachgeschoss Maisonettewohnung ideal für 2-3 Personen;Draiserstrasse, Bretzenheim, Mainz;1265;124;10,2016129;8,2426777;49,9860434;10 bis 12 Euro pro Quadratmeter
Mz.-City, neu sanierte, 2,5 ZiKüBGWcB-Maisonette, ca. 77 qm;Große Langgasse 1, Altstadt, Mainz;920;77;11,94805195;8,267;49,99945;10 bis 12 Euro pro Quadratmeter
Kleine, super schöne, sanierte Altbauwohnung;Neckarstraße 6, Neustadt, Mainz;750;40;18,75;8,2594179;50,010831;15 bis 20 Euro pro Quadratmeter
Renovierte , helle und ruhig gelegene 2 ZKB-SINGLEwohnung, Terrasse, EBK ;Viktoriastr. 0, Weisenau, Mainz;660;52;12,69230769;8,3001614;49,9801762;12 bis 15 Euro pro Quadratmeter
Schöner wohnen in Mombach (M-55120-Tur79);Turmstr., Mombach, Mainz;630,7;59;10,68983051;8,2304835;50,0170177;10 bis 12 Euro pro Quadratmeter
Großzügige 2 Zimmer Wohnung mit Terrasse!;Weisenau, Mainz;725;65;11,15384615;8,2964095;49,9814465;10 bis 12 Euro pro Quadratmeter
Entzückende Maisonette-Wohnung mit zwei Terrassen in guter Bretzenheimer Lage;Bretzenheim, Mainz;1250;103;12,13592233;8,244128;49,981758;12 bis 15 Euro pro Quadratmeter
Einliegerwohnung in MZ- Finthen;Aubachstraße 41 A, Finthen, Mainz;350;24;14,58333333;8,1802594;49,9881413;12 bis 15 Euro pro Quadratmeter
Modernisierte 2-ZKBB mit Laminat & PKW-Stellplatz in Mainz-Finthen;Katzenberg, Finthen, Mainz;505;58;8,706896552;8,183757;49,9890497;8 bis 10 Euro pro Quadratmeter
Modernisierte 2-ZKBB mit Laminat & PKW-Stellplatz in Mainz-Finthen;Katzenberg, Finthen, Mainz;505;58;8,706896552;8,183757;49,9890497;8 bis 10 Euro pro Quadratmeter
Oberstes Geschoss, zweiseitiger Wasserblick, Exclusive Vierzimmer-Wohnung in Mainz, Neustadt;Am Zollhafen, Neustadt, Mainz;1870;117;15,98290598;8,2632516;50,0124836;15 bis 20 Euro pro Quadratmeter
Im Herzen von Mainz - Die perfekte Stadtwohnung in der Altstadt;Münsterstraße, Altstadt, Mainz;760;62;12,25806452;8,2641841;49,9987871;12 bis 15 Euro pro Quadratmeter
Mit Blick über die Dächer von Mainz! Helle 2 Zimmer mit großer Dachloggia - nur 5 Min. vom HBF;Neustadt, Mainz;740;65;11,38461538;8,2582859;50,0099123;10 bis 12 Euro pro Quadratmeter
Wohnen in Premiumlage;Jägerstr., Oberstadt, Mainz;1442;103;14;8,2722056;49,9877521;12 bis 15 Euro pro Quadratmeter
Mainz am Rande des Volksparks, 140 qm -provisionsfrei-;Weisenau, Mainz;1240;140;8,857142857;8,2964095;49,9814465;8 bis 10 Euro pro Quadratmeter
780 €, 65 m², 2 Zimmer;Barbarossastrasse 5, Neustadt, Mainz;780;65;12;8,2501333;50,0099871;12 bis 15 Euro pro Quadratmeter
Ruhige Maisonettewohung in Mainz-Gonsenheim: 3 Zimmer für 2 Erwachsene, keine Haustiere;Gonsenheim, Mainz;730;75;9,733333333;8,2039952;50,0016764;8 bis 10 Euro pro Quadratmeter
Wohntraum mit Blick über den Rhein;Taunusstraße, Neustadt, Mainz;2550;150;17;8,265181;50,0127386;15 bis 20 Euro pro Quadratmeter
Schöne, geräumige zwei Zimmer Wohnung in Mainz, Hartenberg/Münchfeld;Im Münchfeld, Hartenberg/Münchfeld, Mainz;800;72;11,11111111;8,238504;49,99915;10 bis 12 Euro pro Quadratmeter
Hallo Wohngemeinschaften - Helle 2-Zimmer-Wohnung mit Balkon im Herzen der City;Welschnonnengasse 1, Altstadt, Mainz;750;49;15,30612245;8,2669991;50,0000883;15 bis 20 Euro pro Quadratmeter
Zollhafen, Wasserlage, Westseite, Balkon;Am Zollhafen, Neustadt, Mainz;990;61;16,2295082;8,2632516;50,0124836;15 bis 20 Euro pro Quadratmeter
1-Zimmer Apartment in ruhiger Lage in der Nähe der Universität;Hartenberg/Münchfeld, Mainz;760;27;28,14814815;8,238504;49,99915;mehr als 20 Euro pro Quadratmeter
Schöne Altbauwohnung in Mainz-Gonsenheim;Gonsenheim, Mainz;1000;100;10;8,2039952;50,0016764;10 bis 12 Euro pro Quadratmeter
Helle 5-Zimmer Wohnung mit 2 Balkonen in grüner Lage;Karlsbader Straße, Gonsenheim, Mainz;1250;160;7,8125;8,2281335;50,0090827;6 bis 8 Euro pro Quadratmeter
wunderschönes Penthouse mit sehr privater Terrasse im Grünen;Am Großen Sand 30a, Gonsenheim, Mainz;896;64;14;8,21381;50,01007;12 bis 15 Euro pro Quadratmeter
Lichtdurchflutede 1-Zimmer-Wohnung im Grünen;Westring 4, Mombach, Mainz;357;29;12,31034483;8,21649;50,01502;12 bis 15 Euro pro Quadratmeter
*** Perfekt für eine/n Studenten(in) oder einen Berufstätigen! In schöner Lage von Gonsenheim!***;Gonsenheim, Mainz;290;30;9,666666667;8,2039952;50,0016764;8 bis 10 Euro pro Quadratmeter
Der Dahlberger Hof- Wohnen im zweiten Schloß von Mainz!;Emmeranstr., Altstadt, Mainz;913;83;11;8,2687979;50,0008191;10 bis 12 Euro pro Quadratmeter
ERSTBEZUG geräumige 3-Zimmer-Wohnung in Mainz-Bretzenheim;Bretzenheim, Mainz;1100;91;12,08791209;8,244128;49,981758;12 bis 15 Euro pro Quadratmeter
Schöne, lichtdurchflutete 5-Zimmer-Wohnung in Mainz;Mombach, Mainz;1120;110;10,18181818;8,2280816;50,0201939;10 bis 12 Euro pro Quadratmeter
Schöne sechs Zimmer Wohnung in Mainz, Altstadt;Altstadt, Mainz;1600;175;9,142857143;8,269193;49,9987651;8 bis 10 Euro pro Quadratmeter
Zweitbezug: Charmante Maisonette mit dem Flair eines Einfamilienhauses;Weisenau, Mainz;1250;101;12,37623762;8,2964095;49,9814465;12 bis 15 Euro pro Quadratmeter
***Erstbezug nach Sanierung*** 2 ZKB mit Innenhof-Nutzung in BESTLAGE der MAINZER-STADT***;Mozartstraße, Neustadt, Mainz;525;39;13,46153846;8,2516338;50,0143672;12 bis 15 Euro pro Quadratmeter
ZU VERMIETEN: Exklusive 2-Zimmer-Maisonette mit Rhein- u. Domblick - Mainz-Altstadt;Altstadt, Mainz;1035;80;12,9375;8,269193;49,9987651;12 bis 15 Euro pro Quadratmeter
2 Zimmer mit Einbauküche und Balkon, umfangreich modernisiert;Kaiser-Wilhelm-Ring 2, Neustadt, Mainz;720;56;12,85714286;8,2590818;50,0023819;12 bis 15 Euro pro Quadratmeter
575 €, 55 m², 2 Zimmer;An der Wied, Bretzenheim, Mainz;575;55;10,45454545;8,241952;49,9818052;10 bis 12 Euro pro Quadratmeter
Schöne, geräumige 1-ZW in ruhiger Lage mit guter Anbindung (Mainz Mombach);Mombach, Mainz;430;36;11,94444444;8,2280816;50,0201939;10 bis 12 Euro pro Quadratmeter
*NUR MIT WOHNBERECHTIGUNGSSCHEIN* 2-Zi-Neubauwohnung;Wilhelm-Theodor-Römheld-Str. 2-12, Weisenau, Mainz;504,96;59;8,558644068;8,2909042;49,9791391;8 bis 10 Euro pro Quadratmeter
"Schöne 2 ZKBB Wohnung, teilsaniert in Mainz, Neustadt; für 1 Jahr";Neustadt, Mainz;610;56;10,89285714;8,2582859;50,0099123;10 bis 12 Euro pro Quadratmeter
Auch an Studenten - Gemütliche 2-Zimmer-Wohnung mit Balkon im Herzen der City;Welschnonnengasse 1, Altstadt, Mainz;880;60;14,66666667;8,2669991;50,0000883;12 bis 15 Euro pro Quadratmeter
Dachgeschosswohnung in Altstadt;Emmerich-Josef-Str. 9, Altstadt, Mainz;800;86;9,302325581;8,2661308;49,9976106;8 bis 10 Euro pro Quadratmeter
Schöne 2-Zimmer-Wohnung mit Balkon in Top-Lage!;Stadthausstr. 2, Altstadt, Mainz;852,06;77;11,06571429;8,2692159;50,0008468;10 bis 12 Euro pro Quadratmeter
**BAU-Erstbezug** 3 Zimmer Küche Bad Balkon Wohnung in der Mainzer Oberstadt;Xaveriusweg 5, Oberstadt, Mainz;1070;73;14,65753425;8,2493528;49,9916431;12 bis 15 Euro pro Quadratmeter
Top sanierte 3-Zimmer-Wohnung in Mainz-Weisenau;Laubenheimer Straße, Weisenau, Mainz;660;75;8,8;8,2998099;49,9755553;8 bis 10 Euro pro Quadratmeter
3 Zimmer, Einbauküche, umfangreich modernisiert;Hindenburgstraße, Neustadt, Mainz;1040;87;11,95402299;8,2593931;50,0083601;10 bis 12 Euro pro Quadratmeter
ToFa: Terrasse+Garten+Garage und großer Nutzfläche im Keller;Rembrandtstr. 2, Lerchenberg, Mainz;1000;102;9,803921569;8,1878267;49,9621695;8 bis 10 Euro pro Quadratmeter
Luxus-Neubauwohnung im Zollhafen!!!  Tiefgarage mit Elektroanschluss;Am Zollhafen, Neustadt, Mainz;1790;119;15,04201681;8,2632516;50,0124836;15 bis 20 Euro pro Quadratmeter
Perfekt für die WG - Erstbezug nach Modernisierung;Freiherr-vom-Stein-Str., Oberstadt, Mainz;1300;115;11,30434783;8,2617097;49,9891214;10 bis 12 Euro pro Quadratmeter
**Neubau-Erstbezug** Großzügige 3 Zimmer Wohnung mit Süd-Terrasse  in der Oberstadt;Xaveriusweg 5, Oberstadt, Mainz;1420;98;14,48979592;8,2493528;49,9916431;12 bis 15 Euro pro Quadratmeter
Möblierte 3-Zimmer-Wohnung in Mainz Neustadt;Neustadt, Mainz;1700;87;19,54022989;8,2582859;50,0099123;15 bis 20 Euro pro Quadratmeter
Moderne 3-Zimmer-Wohnung;Rheinallee 54a, Neustadt, Mainz;1060;88;12,04545455;8,2614056;50,0120988;12 bis 15 Euro pro Quadratmeter
2-Zimmer-Wohnung im Riverside;Rheinallee 62a, Neustadt, Mainz;795;70;11,35714286;8,2607425;50,0124448;10 bis 12 Euro pro Quadratmeter
Im Herzen von Finthen 2ZKB von Privat;Poststr. 134, Finthen, Mainz;850;85;10;8,1773256;49,9878987;10 bis 12 Euro pro Quadratmeter
Zollhafen Mainz: Traumhafte, helle 3 Zimmer-Luxus-Wohnung, Süd-Balkon und Blick auf das Hafenbecken;Am Zollhafen, Neustadt, Mainz;1295;107;12,10280374;8,2632516;50,0124836;12 bis 15 Euro pro Quadratmeter
Renovierte 3 ZKB-Balkon auf 2 Etagen, TL Bad mit Dusche. Für Single o Paar;Engelstr. 28-45, Gonsenheim, Mainz;880;85;10,35294118;8,2076055;50,0003943;10 bis 12 Euro pro Quadratmeter
Erstbezug Penthouse-Maisonette WHG mit Klimaanlage und Galerie in MZ-Gonsenheim;Rector Forestierstraße, Gonsenheim, Mainz;1500;133;11,27819549;8,2164251;50,0078068;10 bis 12 Euro pro Quadratmeter
KÖNIG Immobilien: Näher am Rhein können Sie in Mainz nicht wohnen;Neustadt, Mainz;2400;144;16,66666667;8,2582859;50,0099123;15 bis 20 Euro pro Quadratmeter
Unverbauter Blick - Exklusive DG-Wohnung;Freiherr-vom-Stein-Str., Oberstadt, Mainz;798;53;15,05660377;8,2617097;49,9891214;15 bis 20 Euro pro Quadratmeter
Schöne, helle, geräumige 2-Zimmer Wohnung in Mainz-Marienborn;Am Alten Weg, Marienborn, Mainz;605;64;9,453125;8,2327876;49,9614359;8 bis 10 Euro pro Quadratmeter
Schöne, renovierte, helle u ruhig gelegene 2 ZKB Teilmöbliert, TL Bad m Dusche, EBK;Schiersteiner Grund 0, Drais, Mainz;730;75;9,733333333;8,196597;49,979398;8 bis 10 Euro pro Quadratmeter
Wie ich mir mein Leben träume? Am Wasser wohnend.;Rheinallee, Neustadt, Mainz;1490;101;14,75247525;8,2410274;50,0216929;12 bis 15 Euro pro Quadratmeter
LUXUS 2 1/2 Zimmer-Wohnung - WG geignet;Marienborner Straße, Bretzenheim, Mainz;690;54;12,77777778;8,2377471;49,9721882;12 bis 15 Euro pro Quadratmeter
3-Zimmer-Wohnung in Mainz-Bretzenheim;Hochstr., Bretzenheim, Mainz;840;87;9,655172414;8,2431109;49,9788259;8 bis 10 Euro pro Quadratmeter
++City-Living, sanierte 3 Zi-Wohnung im Herzen der Stadt++;Große Bleiche, Altstadt, Mainz;980;87;11,26436782;8,2676361;50,0032529;10 bis 12 Euro pro Quadratmeter
ZU VERMIETEN: Studenten aufgepasst! Erstbezug n. Sanierung! WG-Zimmer - Mainz-Hartenberg/Münchfeld;Hartenberg/Münchfeld, Mainz;450;20;22,5;8,238504;49,99915;mehr als 20 Euro pro Quadratmeter
Nähe Universität, schöne,gut geschnittene,komplett renovierte  3 Zimmer Wohnung in Mainz-Bretzenheim;Bretzenheim, Mainz;690;76;9,078947368;8,244128;49,981758;8 bis 10 Euro pro Quadratmeter
Helle 3-Zimmer-Wohnung in Wasserlage;Rheinallee, Neustadt, Mainz;1415;100;14,15;8,2410274;50,0216929;12 bis 15 Euro pro Quadratmeter
Gemütliches 1-Zimmer-Studio mit Loggia;Rheinallee 62a, Neustadt, Mainz;540;36;15;8,2607425;50,0124448;15 bis 20 Euro pro Quadratmeter
Moderne 48 qm Wohnung (2 ZKB), Mainzer-Oberstadt in der Stahlbergstr. 43 in Mainz;Stahlbergstraße, Oberstadt, Mainz;670;48;13,95833333;8,2605047;49,989879;12 bis 15 Euro pro Quadratmeter
Moderne 2-Zimmer-Wohnung mit Wasserblick;Rheinallee, Neustadt, Mainz;1005;66;15,22727273;8,2410274;50,0216929;15 bis 20 Euro pro Quadratmeter
Exklusive Penthousewohnung im Riverside;Rheinallee, Neustadt, Mainz;2460;163;15,09202454;8,2410274;50,0216929;15 bis 20 Euro pro Quadratmeter
Sonnige 4 ZKB mit Panorama-Rhein-Blick;Altstadt, Mainz;1990;128;15,546875;8,269193;49,9987651;15 bis 20 Euro pro Quadratmeter
Altenwohnung 2 Zimmer Barrierefrei (betreuteswohnen);Mombach, Mainz;660;60;11;8,2280816;50,0201939;10 bis 12 Euro pro Quadratmeter
Mainz-Hechtsheim - moderne 4 Zimmer-Wohnung mit offener Küche und Balkon;Hechtsheim, Mainz;1270;121;10,49586777;8,2674162;49,9592577;10 bis 12 Euro pro Quadratmeter
Mainz Neustadt - 3 ZKB - Erstbezug nach Sanierung;Neustadt, Mainz;799;59;13,54237288;8,2582859;50,0099123;12 bis 15 Euro pro Quadratmeter
Mainz Neustadt - 3 ZKB, Balkon - Erstbezug nach Sanierung;Neustadt, Mainz;810;60;13,5;8,2582859;50,0099123;12 bis 15 Euro pro Quadratmeter
Mainz Neustadt - 3 ZKB - Erstbezug nach Sanierung;Neustadt, Mainz;749;55;13,61818182;8,2582859;50,0099123;12 bis 15 Euro pro Quadratmeter
Wunderschöne 3 Zimmerwohnung im Dachgeschoss;Max-Plack-Straße, Gonsenheim, Mainz;950;88;10,79545455;8,1982986;49,9983792;10 bis 12 Euro pro Quadratmeter
Traumhafte Maisonette-Neubauwohnung, 4 Zimmer Lerchenberg;Regerstr., Lerchenberg, Mainz;1397;121;11,54545455;8,2007957;49,9610565;10 bis 12 Euro pro Quadratmeter
Sehr schöne renovierte  3ZKB,  Balkon, Mainz- Neustadt;Boppstr., Neustadt, Mainz;800;75;10,66666667;8,2585505;50,0050193;10 bis 12 Euro pro Quadratmeter
ZU VERMIETEN: Goldiges Hofhäuschen - Mainz-Neustadt;Neustadt, Mainz;700;60;11,66666667;8,2582859;50,0099123;10 bis 12 Euro pro Quadratmeter
Das möchten Sie gerne: Stilvoll und modern wohnen im Denkmal;Gonsenheim, Mainz;890;81;10,98765432;8,2039952;50,0016764;10 bis 12 Euro pro Quadratmeter
Wohnen im Herzen von Mainz-großzügige 1 ZiKüBB-Stellplatz, ca. 51 qm;Münsterstr., Altstadt, Mainz;710;51;13,92156863;8,2641841;49,9987871;12 bis 15 Euro pro Quadratmeter
Helle und geräumige 3-Zimmerwohnung in Mainz Bretzenheim;Draiser Str., Bretzenheim, Mainz;750;85;8,823529412;8,2426777;49,9860434;8 bis 10 Euro pro Quadratmeter
Schöne 3 Zimmerwohnung in der Mainzer Neustadt!;Neustadt, Mainz;720;66;10,90909091;8,2582859;50,0099123;10 bis 12 Euro pro Quadratmeter
Mü/Ha, 3 ZKB, sehr guter Zustand;Hartenberg/Münchfeld, Mainz;790;81;9,75308642;8,238504;49,99915;8 bis 10 Euro pro Quadratmeter
Neubau-Erstbezug! Großzügige 4-Zimmer-Wohnung Lerchenberg;Regerstr., Lerchenberg, Mainz;1173;106;11,06603774;8,2007957;49,9610565;10 bis 12 Euro pro Quadratmeter
Erstbezug! Mieten Sie jetzt Ihre moderne 2 Zimmer-Neubau-Wohnung Lerchenberg;Regerstr., Lerchenberg, Mainz;832;72;11,55555556;8,2007957;49,9610565;10 bis 12 Euro pro Quadratmeter
"MZ-LERCHENBERG - PENTHOUSE MIT GROSSER DACHTERRASSE - 
DER FERNBLICK WIRD SIE BEGEISTERN";Lerchenberg, Mainz;1580;140;11,28571429;8,1991405;49,9592389;10 bis 12 Euro pro Quadratmeter
++Top-sanierte 3 Zimmer, mit bester Anbindung++;Marienborner Str., Bretzenheim, Mainz;960;87;11,03448276;8,2377471;49,9721882;10 bis 12 Euro pro Quadratmeter
"Genießen Sie dieses schöne Domizil mit Rheinblick !
Mainz - Am Winterhafen - eine begehrte Lage!";Altstadt, Mainz;2100;137;15,32846715;8,269193;49,9987651;15 bis 20 Euro pro Quadratmeter
Nur - Studenten  - All in Miete … WG-Zimmer –  Küche – Duschbad-gemütlicher Hof;Finthen, Mainz;170;16;10,625;8,173984;49,983699;10 bis 12 Euro pro Quadratmeter
Im 6 Fam.Haus wunderchöne Maisonette 3ZKB Einbauküche, Balkon  Mainz-Münchfeld;Watford 20 a, Hartenberg/Münchfeld, Mainz;800;78;10,25641026;8,2313136;49,9993329;10 bis 12 Euro pro Quadratmeter
Im 6 Fam.Haus wunderchöne Maisonette 2 1/2 ZKB Einbauküche, Balkon  Mainz-Münchfeld;Watford 20 a, Hartenberg/Münchfeld, Mainz;800;78;10,25641026;8,2313136;49,9993329;10 bis 12 Euro pro Quadratmeter
"**** ""Mini""-Penthouse in Mainz-Lerchenberg! Grüne Lage und schön mit Dachterrasse & Laminat!!!";Rubensallee, Lerchenberg, Mainz;469;40;11,725;8,1873762;49,9631559;10 bis 12 Euro pro Quadratmeter
*** Big City Life ***;Altstadt, Mainz;696,12;58;12,00206897;8,269193;49,9987651;12 bis 15 Euro pro Quadratmeter
Schicke, lichtdurchflutete Maisonette mit großer Sonnenterrasse in Mainz - Gonsenheim;Gonsbachblick, Gonsenheim, Mainz;1490;135;11,03703704;8,2296861;50,0102547;10 bis 12 Euro pro Quadratmeter
*BAU ERSTBEZUG* 3 Zimmer mit EBK,Terrasse und Stellplätzen;Wallstraße, Hartenberg/Münchfeld, Mainz;1450;117;12,39316239;8,249069;50,0042037;12 bis 15 Euro pro Quadratmeter
Möblierte 3 Zimmer Wohnung in Mainz Neustadt;Neustadt, Mainz;1761;87;20,24137931;8,2582859;50,0099123;mehr als 20 Euro pro Quadratmeter
Möblierte 3-Zimmer Wohnung in kernsaniertem Haus mit Garten, Terrasse und W-Lan in Mainz;Oberstadt, Mainz;2860;138;20,72463768;8,2650536;49,9897898;mehr als 20 Euro pro Quadratmeter
Komplett ausgestattete Dachgeschoßwohnung mit großem Balkon und Internet;Altstadt, Mainz;1750;92;19,02173913;8,269193;49,9987651;15 bis 20 Euro pro Quadratmeter
Möblierte 2-Zimmer Wohnung, top modern, mit W-Lan in Mainz Hartenberg;Hartenberg/Münchfeld, Mainz;1240;30;41,33333333;8,238504;49,99915;mehr als 20 Euro pro Quadratmeter
*Neu möblierte 3 Zimmer Wohnung in Mainz;Neustadt, Mainz;1740;86;20,23255814;8,2582859;50,0099123;mehr als 20 Euro pro Quadratmeter
Schicke Altstadt-Wohnung mit Flair;Altstadt, Mainz;986;78;12,64102564;8,269193;49,9987651;12 bis 15 Euro pro Quadratmeter
Gemütliche 1 Zimmer Wohnung mitten in der Stadt;Hintere Bleiche, Altstadt, Mainz;410;28;14,64285714;8,2643814;50,0026692;12 bis 15 Euro pro Quadratmeter
Zwei Zimmer Wohnung in Rheinnähe, Mainz, Neustadt;Feldbergplatz 1, Neustadt, Mainz;695;71;9,788732394;8,2593816;50,0104764;8 bis 10 Euro pro Quadratmeter
Luxuswohnung mit Panoramablick über Mainz;Wallstrasse 14-16, Hartenberg/Münchfeld, Mainz;1378;106;13;8,254539;50,0025049;12 bis 15 Euro pro Quadratmeter
Neubau! Schöne, geräumige drei Zimmer Wohnung in Mainz-Weisenau von PRIVAT;Wilhelm-Theodor-Römheld-Straße 3, Weisenau, Mainz;1175;91;12,91208791;8,2902092;49,9803744;12 bis 15 Euro pro Quadratmeter
Wir schaffen neuen Wohnraum – mitten in der Mainzer Oberstadt;Freiherr-vom-Stein-Str., Oberstadt, Mainz;920;64;14,375;8,2617097;49,9891214;12 bis 15 Euro pro Quadratmeter
Helle und großzügig geschnittene 4 Zi.-Whg. in zentraler Lage der Mainzer Neustadt -Zollhafen Nähe-;Wallaustr., Neustadt, Mainz;1485;157;9,458598726;8,2587315;50,0120601;8 bis 10 Euro pro Quadratmeter
Atemberaubende Maisonette im beliebten Dalbergerhof im Herzen der Mainzer Innenstadt;Altstadt, Mainz;1270;106;11,98113208;8,269193;49,9987651;10 bis 12 Euro pro Quadratmeter
Luxus-Neubauwohnung im Zollhafen mit Blick in die neue Hafen-Marina inkl. EBK + 2 TG !;Neustadt, Mainz;1990;119;16,72268908;8,2582859;50,0099123;15 bis 20 Euro pro Quadratmeter
Renovierte 4-Zimmer-Altbau-Wohnung Nähe Kupferbergterrasse;Altstadt, Mainz;1450;145;10;8,269193;49,9987651;10 bis 12 Euro pro Quadratmeter
Tolle aufgeteilte 4 Zi. WHG mit 2 Balkone und Duplex Tiefgaragenplatz in zentraler Lage der Neustadt;Wallaustr., Neustadt, Mainz;1473;155;9,503225806;8,2587315;50,0120601;8 bis 10 Euro pro Quadratmeter
Neubau Erstbezug, endlich Platz in der großzügigen 3 Zimmer-Wohnung Lerchenberg;Regerstr., Lerchenberg, Mainz;1080;96;11,25;8,2007957;49,9610565;10 bis 12 Euro pro Quadratmeter
Neubau, Erstbezug sofort, v.Privat, Top 4 Zi. Wohng, Blick i.Zollhafen/Rhein.;Am Zollhafen, Neustadt, Mainz;1690;121;13,96694215;8,2632516;50,0124836;12 bis 15 Euro pro Quadratmeter
Hochwertiges Wohnen mit Design-Möbel, Loggia, EBK, WLAN, TV;Bahnhofplatz 2, Altstadt, Mainz;671;35;19,17142857;8,2603051;50,0011981;15 bis 20 Euro pro Quadratmeter
Design-Appartment hochwertig möbliert, WLAN, EBK, TV u.v.m.;Bahnhofplatz 2, Altstadt, Mainz;760;38;20;8,2603051;50,0011981;mehr als 20 Euro pro Quadratmeter
Schöne ein Zimmer Arbeiterwohnung in Mainz Innenstadt, Neustadt;Kaiser-Karl-Ring, Neustadt, Mainz;280;14;20;8,2507083;50,0148975;mehr als 20 Euro pro Quadratmeter
Ruhiglage-Großzügig-GepflegtWannenbad mit Fenster-Einbauküche-;Hechtsheim, Mainz;650;70;9,285714286;8,2674162;49,9592577;8 bis 10 Euro pro Quadratmeter
Appartment mit EBK, Waschmaschine, Flat-TV usw.- Zentral und gute Busanbindung;Bahnhofplatz 2, Altstadt, Mainz;639;30;21,3;8,2603051;50,0011981;mehr als 20 Euro pro Quadratmeter
BAU: Erstbezug 3-Zi-Whg mit Südost-Loggia ;Wilhelm-Theodor-Römheld-Straße 7, Weisenau, Mainz;1085;90;12,05555556;8,2902092;49,9803744;12 bis 15 Euro pro Quadratmeter
Neubau Erstbezug***LEBEN IM GRÜNEN BEREICH ***Gartenguartier               ***;Wilhel-Theodor-Römheld-Str. 3, Weisenau, Mainz;1100;91;12,08791209;8,2902092;49,9803744;12 bis 15 Euro pro Quadratmeter
Neubau Erstbezug ++Schöne Aussichten für Sie und Ihre Familie ++ Gartenquartier;Wilhelm-Theodor-Römheld-Str. 3, Weisenau, Mainz;1250;106;11,79245283;8,2902092;49,9803744;10 bis 12 Euro pro Quadratmeter
Für Altbau-Liebhaber - Arbeiten und Wohnen;Altstadt, Mainz;1550;145;10,68965517;8,269193;49,9987651;10 bis 12 Euro pro Quadratmeter
